id,title,genres,keywords,tagline,overview,cast,director,language
1,Laila,Comedy Romance,,,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",Vishwak Sen Akanksha Sharma Babloo Prithiveeraj Abhimanyu Singh Vineet Kumar,Ram Narayan,te
2,Devara : Part 1,Action Drama,sea ship red sea boat fear battle unassuming swords ships violence boats,When courage turns into a Disease... Fear is the only cure,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",N.T. Rama Rao Jr. Saif Ali Khan Prakash Raj Srikanth Kalaiyarasan,Koratala Siva,te
3,Pushpa 2 - The Rule,Action Drama Thriller Crime,sequel ego clash,The rule begins.,"As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.",Allu Arjun Rashmika Mandanna Fahadh Faasil Jagadeesh Bandari Rao Ramesh,Sukumar,te
4,RRR,Action Adventure Drama,rescue revolution liberation slavery male friendship freedom fighter british empire interracial romance historical fiction period drama historical 1920s history of india killed in action war,"Rise, Roar, Revolt.",A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,N.T. Rama Rao Jr. Ram Charan Olivia Morris Ray Stevenson Alison Doody,S. S. Rajamouli,te
5,Kalki 2898-AD,Drama Action Fantasy Science Fiction,rebellion temple dystopia villain desert religious statue futuristic society quest imperialism heroes kalki ancient temple indian folklore evil empire fantasy indian gods mahabharat,"When the world is taken over by darkness, a new force will arise.","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",Amitabh Bachchan Prabhas Deepika Padukone Kamal Haasan Saswata Chatterjee,Nag Ashwin,te
6,Salaar: Part 1 - Ceasefire,Action Crime Drama,drama action salaar,THE MOST VIOLENT MEN... CALLED ONE MAN... THE MOST VIOLENT,"Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.",Prabhas Prithviraj Sukumaran Shruti Haasan Easwari Rao Jagapati Babu,Prashanth Neel,te
7,Pushpa: The Rise - Part 1,Action Drama Thriller,rags to riches smugglers sandalwood powerful,,"Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.",Allu Arjun Rashmika Mandanna Jagadeesh Bandari Sunil Varma Anasuya Bharadwaj,Sukumar,te
8,The Family Star,Family Romance Comedy Drama Action,,,"Govardhan, a devoted architect from Hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. When he discovers Indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understanding",Vijay Deverakonda Mrunal Thakur Rohini Hattangadi Vasuki Anand Abhinaya,Parasuram Petla,te
9,Game Changer,Action Drama,bureaucrat anti-corruption,The game is about to change!,"Ram, a newly appointed district collector, takes charge in a city in Andhra Pradesh and immediately confronts the deeply entrenched corruption and inefficiency plaguing the government. Determined to bring reforms, he initiates sweeping changes, sparking a fierce conflict with a powerful state Minister.",Ram Charan Anjali Kiara Advani S. J. Suryah Srikanth,Shankar,te
10,Court: State vs. A Nobody,Drama Romance Crime,trial courtroom legal battle hopeful,,"A determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",Priyadarshi Pullikonda Harsh Roshan Sridevi Sivaji Sontineni Sai Kumar,Ram Jagadeesh,te
11,Supreme,Romance Action Comedy,,,"A taxi driver and orphan join a battle to save royal heirs from a corrupt, greedy businessman.",Sai Durgha Tej Raashii Khanna Ravi Kishan Rajendra Prasad Posani Krishna Murali,Anil Ravipudi,te
12,Bāhubali: The Beginning,Action Adventure Fantasy Drama,kingdom medieval india ancient india bilingual,,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",Prabhas Rana Daggubati Tamannaah Bhatia Anushka Shetty Ramya Krishnan,S. S. Rajamouli,te
13,Lucky Baskhar,Drama Thriller Crime,money laundering anti hero bank employee investment,,A cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,Dulquer Salmaan Meenakshi Chaudhary Rajkumar Kasireddy Ramki Maganti Srinath,Venky Atluri,te
14,Bāhubali 2: The Conclusion,Action Adventure Fantasy,kingdom bilingual,,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Prabhas Rana Daggubati Anushka Shetty Sathyaraj Nassar,S. S. Rajamouli,te
15,Geetha Govindam,Romance,,,"Vijay Govind, a young college lecturer who dreams of marriage falls for Geetha, a level-headed woman who's wary of strangers and isn't easy to convince. While things seem to go smoothly, Vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family.",Vijay Deverakonda Rashmika Mandanna Vennela Kishore Subbaraju Rahul Ramakrishna,Parasuram Petla,te
16,Salaar: Part 2 - Shouryaanga Parvam,Action,action salaar,,,Prabhas Prithviraj Sukumaran Shruti Haasan Easwari Rao Jagapati Babu,Prashanth Neel,te
17,Hi Nanna,Drama Family Romance,,,"Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.",Nani Mrunal Thakur Baby Kiara Khanna Jayaram Shilpa Tulaskar,Shouryuv,te
18,Manamey,Drama Family,,,"A charismatic playboy's life takes an unexpected turn when a young boy enters his world. Initially causing chaos, the boy gradually becomes an integral part of their lives.",Sharwanand Krithi Shetty Vikram Adhitya Vennela Kishore Rahul Ramakrishna,Sriram Adittya,te
19,Hanu-Man,Fantasy Action Comedy Science Fiction,hanuman prasanth varma cinematic universe,The Most Powerful Superhero In The Universe,"In a small village, Hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. Will he succeed in keeping these powers from falling into the wrong hands and save his village?",Teja Sajja Vinay Rai Amritha Aiyer Varalaxmi Sarathkumar Vennela Kishore,Prasanth Varma,te
20,Adhurs,Action Comedy Drama,double act,,"Twin brothers who are separated at birth receive different upbringing. After they grow up, they chance upon each other when one of them gets kidnapped by hoodlums.",N.T. Rama Rao Jr. Nayanthara Brahmanandam Sheela Kaur M. S. Narayana,V. V. Vinayak,te
21,Sita Ramam,History Romance Drama,loving love in war pure love intense romantic classic admiring awestruck vibrant pure heart,A love story written with war,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.",Dulquer Salmaan Mrunal Thakur Rashmika Mandanna Sumanth Gautham Vasudev Menon,Hanu Raghavapudi,te
